zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
62022,2.8,56054,901,0,0,0,9.9,956,94.24686192,0,0,0,2.38
62023,4.7,50313,112,0,0,5,30.9,125,89.6,0,0,4,2.46
62024,4.8,51611,9249,237,148,124,13.9,9910,93.32996973,2.391523713,1.493440969,1.251261352,2.92
62025,4.3,76407,29571,3013,735,549,10.5,34504,85.70310689,8.73232089,2.130187804,1.59111987,2.75
62027,2,62083,530,0,0,24,10.8,554,95.66787004,0,0,4.332129964,3.07
62028,3.1,70735,1109,42,13,6,1.7,1213,91.42621599,3.462489695,1.071723001,0.494641385,3.07
62030,14,21875,143,0,0,0,32.6,143,100,0,0,0,2.87
62031,3.7,47656,799,0,17,0,16.5,836,95.57416268,0,2.033492823,0,2.67
62032,0.8,38438,668,0,0,1,29.9,669,99.85052317,0,0,0.149476831,2.86
62033,4.8,42443,4313,9,59,95,22,4526,95.29385771,0.198851083,1.303579319,2.09898365,2.87
62034,3.9,80928,11959,903,238,220,5.2,13605,87.9015068,6.637265711,1.749356854,1.617052554,2.73
62035,2.8,64763,14958,1021,193,109,7,16438,90.99647159,6.21121791,1.174108772,0.6630977,2.97
62036,0.4,61250,802,0,0,0,6.2,802,100,0,0,0,2.88
62037,2.1,51071,1981,34,26,4,13.7,2066,95.8857696,1.645692159,1.258470474,0.193610842,2.83
62040,5,48582,36270,2564,3018,284,16.6,42692,84.95736906,6.005809051,7.069240139,0.66523002,2.82
62044,6.7,47479,2023,0,0,0,11.9,2027,99.80266404,0,0,0,2.97
62045,9.9,48542,326,0,3,0,3.6,331,98.48942598,0,0.906344411,0,2.94
62046,5.1,68056,751,5,6,16,4.9,783,95.91315453,0.638569604,0.766283525,2.043422733,3.27
62047,1.2,53026,1514,15,44,45,17.3,1625,93.16923077,0.923076923,2.707692308,2.769230769,3.33
62048,2.9,45909,1754,0,4,0,17.5,1771,99.04009034,0,0.225861095,0,2.98
